"Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
0,0,5.1,5.40551331366035
0,0,5.11,5.31372559174854
0,0,5.12,5.22026733517696
0,0,5.13,5.12551872709549
0,0,5.14,5.03001422002454
0,0,5.15,4.93447571811859
0,0,5.16,4.83985333248316
0,0,5.17,4.74737485147218
0,0,5.18,4.65860716157566
0,0,5.19,4.57553459422181
0,0,5.2,4.50065881474911
0,0,5.21,4.43713120078599
0,0,5.22,4.3889269450673
0,0,5.23,4.36107773092754
0,0,5.24,4.35997865515754
0,0,5.25,4.39378169412306
0,0,5.26,4.47286292012504
0,0,5.27,4.61026496858138
0,0,5.28,4.82177089679825
0,0,5.29,5.12458998630916
0,0,5.3,5.53198561157457
0,0,5.31,6.03801189126267
0,0,5.32,6.58494568830368
0,0,5.33,7.02512582394962
0,0,5.34,7.1535938200024
0,0,5.35,6.87657302391402
0,0,5.36,6.31653946922037
0,0,5.37,5.67330033778767
0,0,5.38,5.07450546894414
0,0,5.39,4.56398360490971
0,0,5.4,4.14207512023027
0,0,5.41,3.79456924534072
0,0,5.42,3.50526563934803
0,0,5.43,3.26004744703302
0,0,5.44,3.04766984880198
0,0,5.45,2.85951206606814
0,0,5.46,2.68911499709507
0,0,5.47,2.5317658253051
0,0,5.48,2.38419853589316
0,0,5.49,2.24441426662054
0,0,5.5,2.11161580779961
0,0,5.51,1.98624234235817
0,0,5.52,1.87008927843176
0,0,5.53,1.76646924460042
0,0,5.54,1.68031233645703
0,0,5.55,1.61801026825991
0,0,5.56,1.58673057336503
0,0,5.57,1.59304510252487
0,0,5.58,1.64117769711596
0,0,5.59,1.73171668011696
0,0,5.6,1.86153421037138
0,0,5.61,2.02480513524496
0,0,5.62,2.21436452329221
0,0,5.63,2.42278141698211
0,0,5.64,2.64299985790626
0,0,5.65,2.8686788501153
0,0,5.66,3.09438808098658
0,0,5.67,3.31574988971262
0,0,5.68,3.52955109029818
0,0,5.69,3.73381686177067
0,0,5.7,3.92783213970432
0,0,5.71,4.11210126117944
0,0,5.72,4.2882523213865
0,0,5.73,4.45889901998264
0,0,5.74,4.62747793675563
0,0,5.75,4.79807751887374
0,0,5.76,4.97526870076141
0,0,5.77,5.16394047730454
0,0,5.78,5.36913464053143
0,0,5.79,5.59586722543845
0,0,5.8,5.84891391544396
0,0,5.81,6.13252532194788
0,0,5.82,6.45002133078117
0,0,5.83,6.80319642982119
0,0,5.84,7.19144932601425
0,0,5.85,7.61055532683923
0,0,5.86,8.05106616936628
0,0,5.87,8.49651190455122
0,0,5.88,8.92196372785943
0,0,5.89,9.29407184542475
0,0,5.9,9.57404684090886
0,0,5.91,9.72449076889527
0,0,5.92,9.71889963762752
0,0,5.93,9.54997077440081
0,0,5.94,9.23208624246851
0,0,5.95,8.79620818717513
0,0,5.96,8.28019667436612
0,0,5.97,7.71981672513587
0,0,5.98,7.14363352875273
0,0,5.99,6.57174281842415
0,0,6,6.01677071341358
0,0,6.01,5.48568512855327
0,0,6.02,4.98157974402764
0,0,6.03,4.50510383539932
0,0,6.04,4.05548794777965
0,0,6.05,3.63123489943507
0,0,6.06,3.23056719838881
0,0,6.07,2.85171680033119
0,0,6.08,2.49312464540895
0,0,6.09,2.15361278329698
0,0,6.1,1.83259329709419
