"Phi [deg]","Theta [deg]","Freq [GHz]","dB(GainTotal) []"
0,0,5.2,9.00818882030734
0,0,5.21,9.04304215883145
0,0,5.22,9.07968198485645
0,0,5.23,9.11838074600664
0,0,5.24,9.1593790129909
0,0,5.25,9.20293575336692
0,0,5.26,9.24931272328987
0,0,5.27,9.29874650492077
0,0,5.28,9.35147741507291
0,0,5.29,9.40773615603859
0,0,5.3,9.46773372917905
0,0,5.31,9.53167453392339
0,0,5.32,9.59974677238462
0,0,5.33,9.67211025280335
0,0,5.34,9.74890800643724
0,0,5.35,9.83025524276697
0,0,5.36,9.91623795206328
0,0,5.37,10.0069055305352
0,0,5.38,10.1022695862016
0,0,5.39,10.2022876482626
0,0,5.4,10.3068736132414
0,0,5.41,10.4158681517759
0,0,5.42,10.529043349064
0,0,5.43,10.646084245475
0,0,5.44,10.7665772851544
0,0,5.45,10.8899956659139
0,0,5.46,11.0156875066038
0,0,5.47,11.1428580251968
0,0,5.48,11.2705592833203
0,0,5.49,11.3976829040218
0,0,5.5,11.5229600466041
0,0,5.51,11.644973603372
0,0,5.52,11.7621856263446
0,0,5.53,11.8729829493129
0,0,5.54,11.975742244683
0,0,5.55,12.0689091150804
0,0,5.56,12.1510785358567
0,0,5.57,12.221066779878
0,0,5.58,12.277948760731
0,0,5.59,12.3210508021243
0,0,5.6,12.3498967621389
0,0,5.61,12.364119112271
0,0,5.62,12.3633630501571
0,0,5.63,12.3472132419682
0,0,5.64,12.3151659537222
0,0,5.65,12.2666514843864
0,0,5.66,12.2010974375249
0,0,5.67,12.1180102274227
0,0,5.68,12.0170532556241
0,0,5.69,11.8981000640499
0,0,5.7,11.7612571740604
0,0,5.71,11.6068538313052
0,0,5.72,11.4354076956862
0,0,5.73,11.2475529022839
0,0,5.74,11.0440024373174
0,0,5.75,10.8254504942557
0,0,5.76,10.5925575286046
0,0,5.77,10.3458601605077
0,0,5.78,10.0857779615223
0,0,5.79,9.81258334297164
0,0,5.8,9.52639809862727
0,0,5.81,9.22718540715437
0,0,5.82,8.9148086555866
0,0,5.83,8.58900959599023
0,0,5.84,8.24946426125278
0,0,5.85,7.89581325627134
0,0,5.86,7.52772596294171
0,0,5.87,7.14495080124369
0,0,5.88,6.74741638941639
0,0,5.89,6.33533150368087
0,0,5.9,5.90933827424717
0,0,5.91,5.47069375501262
0,0,5.92,5.02146328113354
0,0,5.93,4.56478637359182
0,0,5.94,4.10508167521205
0,0,5.95,3.6481922626004
0,0,5.96,3.20139958201538
0,0,5.97,2.7731676720006
0,0,5.98,2.37250508222271
0,0,5.99,2.00799961149695
0,0,6,1.68646324011961
